iter	Logloss
0	0.6837026324
1	0.6753287952
2	0.6642000827
3	0.655031946
4	0.6474245805
5	0.6387831855
6	0.6309632542
7	0.6225352545
8	0.6163531696
9	0.6095230864
10	0.6028174859
11	0.5965662426
12	0.5911746696
13	0.5864914232
14	0.5815235872
15	0.5751257164
16	0.5698136995
17	0.5657843882
18	0.5606028725
19	0.556985602
20	0.5531159939
21	0.5497569481
22	0.5461830267
23	0.5426888429
24	0.5393358141
25	0.5355179853
26	0.5327963115
27	0.5303913734
28	0.5276945204
29	0.5253277399
30	0.5225580409
31	0.5196566311
32	0.5169551065
33	0.5147841487
34	0.5126637321
35	0.5104712042
36	0.5083543524
37	0.5066785667
38	0.5043097124
39	0.5029435237
40	0.5009647536
41	0.4994219772
42	0.4976528855
43	0.4960642272
44	0.4939303207
45	0.4921756652
46	0.4900737631
47	0.4887926144
48	0.4869785308
49	0.4861894488
50	0.4845826619
51	0.4832504219
52	0.4816926438
53	0.480625009
54	0.4790463751
55	0.4774526821
56	0.476170431
57	0.4747422163
58	0.4735878006
59	0.4724527445
60	0.4709281875
61	0.469585963
62	0.4681308906
63	0.4668974081
64	0.4658521905
65	0.4647863846
66	0.4642356933
67	0.4633267898
68	0.4623924419
69	0.4615458722
70	0.4608987197
71	0.4600363263
72	0.4588551658
73	0.458022894
74	0.4569157077
75	0.456168152
76	0.4550613075
77	0.4541953456
78	0.4533675993
79	0.4525430206
80	0.451586522
81	0.4505553591
82	0.4498594496
83	0.4487673135
84	0.448118353
85	0.4471118814
86	0.4462551542
87	0.4455389238
88	0.444930822
89	0.4441923475
90	0.4434351508
91	0.4427741012
92	0.4418391321
93	0.4412729452
94	0.4403801578
95	0.4396940639
96	0.4391891859
97	0.438772697
98	0.4382360313
99	0.4376655772
100	0.4370294889
101	0.4366028643
102	0.4360567872
103	0.4355460125
104	0.4349310589
105	0.4342778228
106	0.4338769244
107	0.4333523506
108	0.4330070973
109	0.4323099083
110	0.4316879313
111	0.4313014693
112	0.4306613084
113	0.4302635661
114	0.4298756821
115	0.4295003262
116	0.4290126383
117	0.4281376577
118	0.4273038889
119	0.4267317881
120	0.4262431288
121	0.4260070859
122	0.4253726118
123	0.4249811882
124	0.4247765513
125	0.4241422275
126	0.423832383
127	0.4233763798
128	0.423083036
129	0.4226176304
130	0.4222319952
131	0.4214709605
132	0.4211536223
133	0.420832639
134	0.4204103755
135	0.4200439495
136	0.4197925229
137	0.4194539963
138	0.419015959
139	0.4186375265
140	0.4183199556
141	0.4180407252
142	0.4176382707
143	0.4173113171
144	0.4170158423
145	0.4166431963
146	0.4163605342
147	0.4160543163
148	0.4157385562
149	0.4154846629
150	0.4150021965
151	0.4146052042
152	0.4142485628
153	0.4137230961
154	0.4133638631
155	0.4129197127
156	0.4127122869
157	0.4124497151
158	0.4122184598
159	0.4119804804
160	0.4113925661
161	0.411159351
162	0.4109505283
163	0.4106451525
164	0.4100239398
165	0.4097322212
166	0.4092904368
167	0.4088338729
168	0.4082908202
169	0.4078576741
170	0.4076491915
171	0.407254292
172	0.4070447237
173	0.4066880455
174	0.4065157938
175	0.4063163771
176	0.4058991456
177	0.4055147552
178	0.4051073023
179	0.4048969136
180	0.4045994946
181	0.4043864866
182	0.4041623105
183	0.40387314
184	0.4033603157
185	0.4030980147
186	0.40272134
187	0.4025143334
188	0.4022079024
189	0.4018587539
190	0.4015277061
191	0.4013681301
192	0.4012005275
193	0.4008029956
194	0.4005884382
195	0.4002813655
196	0.4000634516
197	0.3996167847
198	0.3994288004
199	0.3990347045
200	0.3987618547
201	0.3983697652
202	0.3981707628
203	0.3979688463
204	0.3976701818
205	0.3974662994
206	0.3973069881
207	0.3971709704
208	0.3968938777
209	0.3965741064
210	0.3964020398
211	0.3958917411
212	0.3957401231
213	0.3955029342
214	0.3953670304
215	0.3951195546
216	0.3948356598
217	0.3945341755
218	0.3943884093
219	0.3941681049
220	0.3940090421
221	0.3938062303
222	0.393498629
223	0.3933229454
224	0.3931533616
225	0.3929901497
226	0.3928916059
227	0.392739832
228	0.3925948572
229	0.3924298426
230	0.3920616364
231	0.3919144203
232	0.3918002121
233	0.3916353587
234	0.3914120148
235	0.391274908
236	0.3910404821
237	0.3907290412
238	0.3905719599
239	0.3904623582
240	0.3903091126
241	0.3901511976
242	0.3899088104
243	0.3897517175
244	0.3896274664
245	0.3893912241
246	0.3892008699
247	0.3889240506
248	0.3887511488
249	0.3885579679
250	0.3882725639
251	0.3880545719
252	0.3878585579
253	0.3876933225
254	0.3875537995
255	0.3873843071
256	0.387277272
257	0.3870973489
258	0.3869617233
259	0.3868396157
260	0.3867012413
261	0.3865884346
262	0.3862912016
263	0.3861268321
264	0.3859065445
265	0.3856964477
266	0.3855632151
267	0.3854527922
268	0.3853150289
269	0.3849644365
270	0.3847052819
271	0.3845586437
272	0.3844115053
273	0.384301158
274	0.3841286922
275	0.3839538396
276	0.3837283081
277	0.3835862594
278	0.3833256409
279	0.3832193807
280	0.38306352
281	0.3828985686
282	0.3827674659
283	0.382630009
284	0.3821399074
285	0.3817578716
286	0.3816541363
287	0.3815857053
288	0.3814875603
289	0.3813531749
290	0.3812561577
291	0.3810005839
292	0.3808778137
293	0.3806271521
294	0.3805633568
295	0.3804171464
296	0.3803439015
297	0.3800161669
298	0.3798601791
299	0.379719831
300	0.3793829952
301	0.3792377562
302	0.3791784774
303	0.3790879032
304	0.3789962284
305	0.378696534
306	0.3784657729
307	0.3783338559
308	0.3782278666
309	0.3781325119
310	0.3779764896
311	0.3777929739
312	0.3776991958
313	0.3775735772
314	0.3774621141
315	0.3771858781
316	0.3768605441
317	0.3767392425
318	0.3765774405
319	0.3762801784
320	0.3759922363
321	0.3756457637
322	0.375417189
323	0.3751568938
324	0.3750077714
325	0.3748799634
326	0.374773213
327	0.3745684397
328	0.3744544954
329	0.374376565
330	0.3740429274
331	0.3739012401
332	0.3736024667
333	0.3733308599
334	0.373198793
335	0.3731016597
336	0.3728791675
337	0.3727043879
338	0.3724491952
339	0.3721909487
340	0.371881146
341	0.3717516528
342	0.3715896962
343	0.3714883158
344	0.3712614791
345	0.3711329818
346	0.3709507402
347	0.3707229296
348	0.3705520424
349	0.3703242058
350	0.3702064322
351	0.3700794383
352	0.3699566211
353	0.3698172369
354	0.3697779869
355	0.369698006
356	0.3695509563
357	0.3694204005
358	0.3693516239
359	0.3693048596
360	0.3692203843
361	0.3689993572
362	0.3688687337
363	0.3687840057
364	0.3686706643
365	0.3685046488
366	0.3682881877
367	0.3681813336
368	0.3680327396
369	0.367904287
370	0.3678039108
371	0.3676868408
372	0.3675452497
373	0.3674343867
374	0.3672571903
375	0.3671650596
376	0.367083841
377	0.3669289163
378	0.366837684
379	0.3667240885
380	0.3664866198
381	0.3663317744
382	0.3661868902
383	0.3659215708
384	0.3657884771
385	0.3656906354
386	0.3654654326
387	0.3653881384
388	0.3652310421
389	0.3650780498
390	0.3648956183
391	0.3647876822
392	0.3644816181
393	0.3643591515
394	0.3642678325
395	0.3640846882
396	0.3637229681
397	0.3636022613
398	0.3635111324
399	0.3634064819
