iter	Passed	Remaining
0	8	8152
1	14	7172
2	20	6710
3	26	6628
4	32	6410
5	37	6282
6	43	6229
7	49	6120
8	54	6053
9	60	5940
10	65	5873
11	70	5791
12	75	5730
13	80	5670
14	85	5617
15	90	5571
16	97	5650
17	103	5630
18	108	5603
19	113	5572
20	118	5534
21	124	5516
22	130	5536
23	136	5532
24	143	5603
25	148	5569
26	154	5555
27	159	5549
28	164	5518
29	170	5498
30	175	5482
31	180	5462
32	185	5441
33	190	5423
34	195	5402
35	201	5395
36	206	5381
37	211	5359
38	216	5342
39	222	5328
40	227	5312
41	232	5298
42	237	5294
43	243	5286
44	249	5285
45	254	5275
46	259	5267
47	264	5252
48	270	5243
49	274	5220
50	279	5206
51	284	5193
52	290	5184
53	295	5171
54	300	5163
55	305	5155
56	310	5144
57	316	5134
58	321	5127
59	328	5142
60	333	5134
61	338	5127
62	344	5116
63	349	5105
64	354	5102
65	359	5091
66	364	5081
67	370	5071
68	375	5061
69	380	5051
70	385	5048
71	390	5038
72	396	5030
73	401	5026
74	406	5016
75	411	5007
76	417	5002
77	422	4995
78	427	4988
79	433	4981
80	438	4971
81	443	4962
82	448	4954
83	453	4947
84	458	4940
85	464	4933
86	469	4923
87	474	4914
88	479	4907
89	484	4899
90	489	4892
91	494	4883
92	499	4875
93	505	4868
94	510	4862
95	515	4854
96	520	4848
97	526	4841
98	531	4833
99	536	4825
100	541	4819
101	546	4813
102	552	4807
103	557	4799
104	562	4795
105	567	4789
106	573	4782
107	578	4776
108	583	4769
109	588	4763
110	594	4757
111	599	4750
112	604	4742
113	609	4737
114	614	4729
115	619	4721
116	624	4716
117	630	4709
118	635	4701
119	640	4699
120	645	4691
121	650	4683
122	656	4678
123	661	4672
124	666	4665
125	671	4659
126	676	4652
127	681	4645
128	687	4639
129	692	4632
130	697	4626
131	703	4623
132	708	4616
133	713	4611
134	720	4617
135	727	4619
136	732	4613
137	737	4607
138	743	4602
139	748	4597
140	753	4590
141	758	4583
142	763	4578
143	769	4572
144	774	4567
145	779	4560
146	784	4553
147	789	4546
148	795	4541
149	800	4533
150	805	4527
151	810	4520
152	815	4515
153	820	4509
154	826	4503
155	831	4496
156	836	4491
157	841	4484
158	845	4474
159	851	4468
160	856	4464
161	861	4458
162	867	4455
163	872	4449
164	878	4444
165	883	4439
166	888	4434
167	894	4431
168	907	4462
169	913	4458
170	918	4451
171	923	4446
172	928	4440
173	934	4434
174	939	4428
175	944	4423
176	951	4424
177	956	4418
178	962	4416
179	967	4408
180	972	4402
181	978	4397
182	983	4391
183	988	4384
184	993	4378
185	998	4371
186	1004	4365
187	1009	4359
188	1014	4353
189	1020	4348
190	1025	4345
191	1031	4342
192	1036	4335
193	1042	4330
194	1048	4326
195	1053	4321
196	1059	4317
197	1064	4310
198	1069	4304
199	1074	4298
200	1080	4294
201	1085	4288
202	1090	4282
203	1095	4275
204	1100	4268
205	1105	4261
206	1110	4255
207	1116	4249
208	1122	4249
209	1128	4244
210	1133	4237
211	1138	4231
212	1143	4225
213	1148	4219
214	1154	4215
215	1159	4209
216	1165	4203
217	1170	4197
218	1175	4191
219	1180	4185
220	1185	4180
221	1191	4175
222	1196	4169
223	1201	4163
224	1207	4157
225	1212	4152
226	1217	4146
227	1222	4139
228	1227	4133
229	1233	4127
230	1238	4123
231	1243	4117
232	1248	4111
233	1254	4105
234	1259	4099
235	1264	4093
236	1269	4087
237	1275	4082
238	1280	4076
239	1285	4070
240	1290	4064
241	1295	4058
242	1300	4051
243	1307	4051
244	1312	4045
245	1318	4040
246	1323	4034
247	1328	4028
248	1333	4023
249	1338	4016
250	1344	4010
251	1349	4006
252	1354	4000
253	1359	3993
254	1365	3988
255	1370	3983
256	1375	3977
257	1380	3971
258	1386	3965
259	1391	3959
260	1396	3953
261	1401	3947
262	1406	3942
263	1412	3937
264	1417	3931
265	1422	3925
266	1428	3921
267	1433	3914
268	1438	3908
269	1443	3903
270	1448	3897
271	1453	3891
272	1458	3884
273	1463	3878
274	1468	3872
275	1473	3866
276	1479	3860
277	1484	3854
278	1489	3848
279	1494	3842
280	1499	3837
281	1504	3831
282	1510	3825
283	1515	3819
284	1520	3814
285	1525	3807
286	1530	3802
287	1535	3796
288	1540	3790
289	1545	3784
290	1551	3779
291	1556	3773
292	1561	3767
293	1566	3761
294	1571	3755
295	1576	3750
296	1582	3746
297	1587	3740
298	1592	3734
299	1598	3728
300	1603	3722
301	1608	3717
302	1613	3711
303	1618	3705
304	1623	3699
305	1628	3694
306	1633	3688
307	1639	3682
308	1644	3677
309	1649	3671
310	1654	3666
311	1659	3660
312	1664	3654
313	1670	3648
314	1675	3643
315	1680	3637
316	1685	3632
317	1692	3628
318	1697	3623
319	1702	3617
320	1707	3612
321	1712	3606
322	1717	3600
323	1723	3595
324	1728	3589
325	1733	3584
326	1738	3578
327	1743	3572
328	1748	3566
329	1754	3561
330	1759	3556
331	1765	3551
332	1770	3547
333	1776	3542
334	1781	3537
335	1787	3532
336	1792	3527
337	1797	3521
338	1803	3516
339	1808	3510
340	1814	3506
341	1820	3501
342	1825	3496
343	1830	3490
344	1835	3485
345	1840	3479
346	1846	3474
347	1851	3468
348	1857	3463
349	1862	3458
350	1867	3453
351	1872	3447
352	1878	3442
353	1883	3436
354	1887	3430
355	1892	3424
356	1898	3418
357	1904	3414
358	1909	3408
359	1914	3402
360	1920	3399
361	1926	3395
362	1932	3390
363	1937	3384
364	1941	3378
365	1947	3373
366	1952	3367
367	1957	3361
368	1964	3360
369	1970	3355
370	1977	3352
